text,label,n_chars,n_words,n_hashtags,n_mentions,n_urls,n_numbers,has_cashtag,text_lemma,text_stem,text_transformer
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,77,10,0,0,1,0,True,ticker jpmorgan reel expectation beyond meat,ticker jpmorgan reel expect beyond meat,$BYND - JPMorgan reels in expectations on Beyond Meat
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,102,14,0,0,1,0,True,ticker ticker nomura point booking weakness carnival royal caribbean,ticker ticker nomura point book weak carniv royal caribbean,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,94,14,0,0,1,0,True,ticker cemex cut credit suisse morgan weak building outlook,ticker cemex cut credit suiss morgan weak build outlook,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook"
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,59,7,0,0,1,0,True,ticker btig research cut neutral,ticker btig research cut neutral,$ESS: BTIG Research cuts to Neutral
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,71,10,0,0,1,0,True,ticker funko slide piper jaffray cut,ticker funko slide piper jaffray cut,$FNKO - Funko slides after Piper Jaffray PT cut
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,102,14,0,0,1,0,True,ticker technipfmc downgraded berenberg called top pick deutsche bank,ticker technipfmc downgrad berenberg call top pick deutsch bank,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,45,7,0,0,1,0,True,ticker loses bull,ticker lose bull,$GM - GM loses a bull
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,55,7,0,0,1,0,True,ticker deutsche bank cut hold,ticker deutsch bank cut hold,$GM: Deutsche Bank cuts to Hold
$GTT: Cowen cuts to Market Perform,0,34,6,0,0,0,0,True,ticker cowen cut market perform,ticker cowen cut market perform,$GTT: Cowen cuts to Market Perform
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,97,12,0,0,1,0,True,ticker ticker ticker trendforce cut iphone estimate foxconn delay,ticker ticker ticker trendforc cut iphon estim foxconn delay,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,63,7,0,0,1,0,True,ticker moody warns harley davidson,ticker moodi warn harley davidson,$HOG - Moody's warns on Harley-Davidson
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,75,11,0,0,1,0,True,ticker citing aero tie well slash hexcel,ticker cite aero tie well slash hexcel,"$HXL - Citing aero ties, Wells slashes PT on Hexcel"
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,76,11,0,0,1,0,True,ticker intelsat cut market perform raymond james,ticker intelsat cut market perform raymond jame,$I - Intelsat cut to Market Perform at Raymond James
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,56,7,0,0,1,0,True,ticker compass point cut sell,ticker compass point cut sell,$KRG: Compass Point cuts to Sell
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,67,9,0,0,1,0,True,ticker muddy water go short luckin coffee,ticker muddi water goe short luckin coffe,$LK - Muddy Waters goes short Luckin Coffee
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,75,9,0,0,1,0,True,ticker mantech downgraded ahead difficult comp,ticker mantech downgrad ahead difficult comp,$MANT - ManTech downgraded ahead of difficult comps
$MDCO: Oppenheimer cuts to Perform,0,34,5,0,0,0,0,True,ticker oppenheimer cut perform,ticker oppenheim cut perform,$MDCO: Oppenheimer cuts to Perform
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,115,16,0,0,1,0,True,ticker ticker mplx cut credit suisse potential dilution marathon strategic review,ticker ticker mplx cut credit suiss potenti dilut marathon strateg review,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,90,10,0,0,1,0,True,ticker imperial downgrade msg network amid sport free airwave,ticker imperi downgrad msg network amid sport free airwav,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,68,8,0,0,1,0,True,ticker piper hit materialise sideline,ticker piper hit materialis sidelin,$MTLS - Piper hits the Materialise sidelines
$NCBS: Hovde Group cuts to Market Perform,0,41,7,0,0,0,0,True,ticker hovde group cut market perform,ticker hovd group cut market perform,$NCBS: Hovde Group cuts to Market Perform
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,58,8,0,0,1,0,True,ticker new netflix bear step,ticker new netflix bear step,$NFLX - New Netflix bear steps out
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,52,7,0,0,1,0,True,ticker shopify loses bull,ticker shopifi lose bull,$SHOP - Shopify loses a bull
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,89,11,0,0,1,0,True,ticker nomura instinet loses confidence extended stay america,ticker nomura instinet lose confid extend stay america,$STAY - Nomura Instinet loses confidence in Extended Stay America
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,75,10,0,0,1,0,True,ticker twilio get street low target virus risk,ticker twilio get street low target virus risk,$TWLO - Twilio gets Street-low target on virus risk
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,95,13,0,0,1,0,True,ticker ticker ticker guggenheim minerd see gloom ahead stock,ticker ticker ticker guggenheim minerd see gloom ahead stock,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,94,12,0,0,1,0,True,ticker ticker ticker moffettnathanson expects nfl cost skyrocket,ticker ticker ticker moffettnathanson expect nfl cost skyrocket,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,70,8,0,0,1,0,True,ticker barrington research cut mkt perform,ticker barrington research cut mkt perform,$VIAC: Barrington Research cuts to Mkt Perform
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,78,10,0,0,1,0,True,ticker mizuho cut xlnx target near term headwind,ticker mizuho cut xlnx target near term headwind,$XLNX - Mizuho cuts XLNX target on near-term headwinds
2U downgraded to sector weight from overweight at KeyBanc Capital,0,65,10,0,0,0,0,False,downgraded sector weight overweight keybanc capital,downgrad sector weight overweight keybanc capit,2U downgraded to sector weight from overweight at KeyBanc Capital
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,96,13,0,0,1,0,False,alphabet facebook price target cut barclays weaker outlook,alphabet facebook price target cut barclay weaker outlook,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,65,12,0,0,0,2,False,amc network price target cut imperial capital,amc network price target cut imperi capit,AMC Networks price target cut to $35 from $39 at Imperial Capital
American Software downgraded to neutral from buy at B. Riley FBR,0,64,11,0,0,0,0,False,american software downgraded neutral buy riley fbr,american softwar downgrad neutral buy riley fbr,American Software downgraded to neutral from buy at B. Riley FBR
Analysts question Silicon Motion's margin outlook,0,49,6,0,0,0,0,False,analyst question silicon motion margin outlook,analyst question silicon motion margin outlook,Analysts question Silicon Motion's margin outlook
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,79,10,0,0,0,0,False,anchiano therapeutic downgraded peer perform outperform oppenheimer,anchiano therapeut downgrad peer perform outperform oppenheim,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer
